Year,State,Event_Type,Return_Period_Years,Occurrence_Probability,Affected_Properties,Economic_Loss_USD,Insured_Loss_USD,Reinsurance_Recovery_USD,Net_Insurer_Loss_USD,VIX_Regime,Interest_Rate_Regime
2027,Illinois,Tornado,25,0.04,44631,50750462.43,21479293.04,13598284.24,7881008.8,Low Volatility,Stable Rates
2027,Florida,Tornado,100,0.01,83604,50751378.97,20316360.96,14142336.29,6174024.67,Low Volatility,Stable Rates
2027,California,Flood,25,0.04,85154,41002734.99,22409829.02,9592190.99,12817638.03,Moderate Volatility,Stable Rates
2027,Illinois,Hurricane,100,0.01,87813,29015840.97,19502214.53,8293309.43,11208905.1,Crisis,Rising Rates
2027,Tennessee,Hurricane,10,0.1,80577,33872794.45,15202628.2,6804520.87,8398107.33,Moderate Volatility,Falling Rates
2028,Texas,Wildfire,25,0.04,72909,503707350.17,238727959.25,163479071.6,75248887.65,Moderate Volatility,Stable Rates
2028,Illinois,Tornado,10,0.1,24800,155800256.38,122220441.68,76053738.34,46166703.34,Low Volatility,Rising Rates
2028,Texas,Flood,25,0.04,49484,1219383329.65,556489592.13,334505053.74,221984538.39,Crisis,Rising Rates
2028,Florida,Flood,100,0.01,27354,204095682.71,144603452.27,34274246.59,110329205.68,Moderate Volatility,Rising Rates
2028,Colorado,Hurricane,10,0.1,96854,182892321.59,100284853.05,53594293.98,46690559.07,Moderate Volatility,Stable Rates
2029,California,Flood,50,0.02,706,97712022.63,69217914.07,30933333.39,38284580.68,Moderate Volatility,Falling Rates
2029,Florida,Flood,25,0.04,18641,356498369.12,187426305.48,85145023.96,102281281.52,Low Volatility,Stable Rates
2029,California,Flood,100,0.01,43057,391389016.04,294397782.88,150783780.33,143614002.55,Moderate Volatility,Rising Rates
2029,Tennessee,Flood,100,0.01,16207,162486647.1,100049023.85,60401604.44,39647419.41,Moderate Volatility,Rising Rates
2030,Texas,Hurricane,100,0.01,66699,3538828.68,1729932.07,449665.89,1280266.18,Crisis,Stable Rates
2030,California,Tornado,10,0.1,53233,96020257.07,75732408.99,51590707.88,24141701.11,Moderate Volatility,Stable Rates
2031,Texas,Flood,25,0.04,47217,31797539.4,16263124.53,10638245.51,5624879.02,Low Volatility,Stable Rates
2031,Illinois,Flood,50,0.02,25842,65944961.46,46467975.06,14814862.75,31653112.31,High Volatility,Stable Rates
2031,Illinois,Hurricane,100,0.01,92406,40342554.82,24337836.73,13334856.59,11002980.14,Moderate Volatility,Stable Rates
2031,Florida,Wildfire,10,0.1,85396,99537924.1,65502833.74,18811314.35,46691519.39,Moderate Volatility,Stable Rates
2031,Tennessee,Earthquake,50,0.02,97101,82327450.13,55843842.23,17550324.13,38293518.1,Crisis,Stable Rates
2031,Texas,Winter Storm,250,0.004,73194,13418814.04,8364180.03,5364100.64,3000079.39,Low Volatility,Stable Rates
2032,Colorado,Hurricane,100,0.01,38860,134672052.75,85149724.83,32879832.53,52269892.3,Moderate Volatility,Falling Rates
2032,Florida,Wildfire,50,0.02,90772,220841589.31,145928700.01,45549404.39,100379295.62,Low Volatility,Stable Rates
2032,Florida,Hurricane,50,0.02,46025,22842100.51,14093943.59,6404387.17,7689556.42,Low Volatility,Falling Rates
2032,Illinois,Hurricane,100,0.01,54545,221386597.3,144444892.05,86292194.88,58152697.17,Moderate Volatility,Stable Rates
2033,Florida,Tornado,10,0.1,43984,68763117.13,32376719.81,21699826.0,10676893.81,Low Volatility,Rising Rates
2033,Iowa,Winter Storm,10,0.1,66735,56457629.88,35066171.92,17047287.44,18018884.48,High Volatility,Stable Rates
2034,Florida,Flood,25,0.04,52385,15013436.91,11075191.05,7365095.27,3710095.78,Low Volatility,Stable Rates
2034,Illinois,Flood,25,0.04,78569,11030071.98,8283024.05,4724506.95,3558517.1,Moderate Volatility,Stable Rates
2034,Tennessee,Tornado,100,0.01,2868,67411419.88,40487738.16,24258130.72,16229607.44,Low Volatility,Stable Rates
2034,Florida,Tornado,10,0.1,99657,171330566.83,108203127.0,45362761.01,62840365.99,Low Volatility,Falling Rates
2034,Illinois,Tornado,100,0.01,3551,96965086.98,51455541.22,31590332.07,19865209.15,Crisis,Stable Rates
2034,Tennessee,Flood,25,0.04,94976,8299087.71,5641760.36,1518629.57,4123130.79,Crisis,Stable Rates
2035,Tennessee,Flood,25,0.04,46675,28092101.64,13184121.32,3668066.74,9516054.58,Moderate Volatility,Stable Rates
2035,Iowa,Flood,250,0.004,60138,408266989.21,283810376.69,135427791.57,148382585.12,Low Volatility,Stable Rates
2035,Florida,Flood,10,0.1,27146,141668675.77,76291660.14,32983700.33,43307959.81,Low Volatility,Rising Rates
2035,Colorado,Flood,10,0.1,42475,127023961.15,98237095.39,44257770.51,53979324.88,Moderate Volatility,Falling Rates
2036,Florida,Wildfire,100,0.01,94110,8144759.88,5353675.18,2297403.6,3056271.58,Crisis,Stable Rates
2036,Illinois,Winter Storm,10,0.1,12661,268562666.06,114876208.78,28763739.12,86112469.66,Low Volatility,Stable Rates
2036,Texas,Earthquake,10,0.1,83245,19049531.93,9606256.27,4303782.71,5302473.56,Moderate Volatility,Stable Rates
2037,Florida,Hurricane,250,0.004,36235,268970540.94,166543533.92,68571880.41,97971653.51,High Volatility,Rising Rates
2037,California,Hurricane,50,0.02,71680,119856663.9,89097261.03,36930548.62,52166712.41,High Volatility,Falling Rates
2037,Texas,Wildfire,25,0.04,40454,52566420.61,29218899.52,10192066.03,19026833.49,Moderate Volatility,Falling Rates
2037,Colorado,Flood,10,0.1,89612,538097002.45,311761677.44,108058276.5,203703400.94,Moderate Volatility,Falling Rates
2037,Illinois,Tornado,10,0.1,88961,211926439.9,163685972.43,112472577.19,51213395.24,Moderate Volatility,Stable Rates
2037,Colorado,Hurricane,10,0.1,2042,103411279.45,66936800.14,16771774.21,50165025.93,Moderate Volatility,Falling Rates
2038,Tennessee,Tornado,10,0.1,14307,35317988.87,15325714.52,10625621.16,4700093.36,High Volatility,Rising Rates
2038,Texas,Winter Storm,25,0.04,27290,282490160.03,167422537.82,65126328.37,102296209.45,Moderate Volatility,Rising Rates
2039,Texas,Hurricane,25,0.04,25970,22980827.94,16003608.3,9339664.62,6663943.68,Moderate Volatility,Stable Rates
2039,Louisiana,Winter Storm,10,0.1,36895,140281039.15,68658918.29,46798692.47,21860225.82,Crisis,Stable Rates
2039,Texas,Flood,100,0.01,30854,42230677.97,32418223.1,10584390.47,21833832.63,Crisis,Stable Rates
2039,Louisiana,Earthquake,25,0.04,79359,245904228.55,187001117.57,41649485.47,145351632.1,Crisis,Falling Rates
2040,Florida,Hurricane,10,0.1,32421,484048937.09,318862079.61,125674448.1,193187631.51,Low Volatility,Stable Rates
2040,Texas,Hurricane,10,0.1,28032,32286042.37,20698993.5,6944073.94,13754919.56,Crisis,Rising Rates
2040,Illinois,Tornado,25,0.04,24293,11288870.54,6404144.81,4267493.1,2136651.71,Moderate Volatility,Falling Rates
2040,California,Tornado,25,0.04,20884,33352242.54,24402691.49,11824098.06,12578593.43,Moderate Volatility,Stable Rates
2040,Texas,Flood,100,0.01,81142,318713078.28,231118104.49,161750047.74,69368056.75,Moderate Volatility,Rising Rates
